language,verb1,verb2,pair,parameter,significance
Chinese,reng 掷,diu 丢,reng 掷 vs diu 丢,FORCE,3
Chinese,reng 掷,diu 丢,reng 掷 vs diu 丢,HAND,1
Chinese,reng 掷,diu 丢,reng 掷 vs diu 丢,ARM,0
Chinese,reng 掷,diu 丢,reng 掷 vs diu 丢,HD,0
Chinese,reng 掷,diu 丢,reng 掷 vs diu 丢,VD,0
Chinese,reng 掷,pao 抛,reng 掷 vs pao 抛,FORCE,0
Chinese,reng 掷,pao 抛,reng 掷 vs pao 抛,HAND,1
Chinese,reng 掷,pao 抛,reng 掷 vs pao 抛,ARM,0
Chinese,reng 掷,pao 抛,reng 掷 vs pao 抛,HD,2
Chinese,reng 掷,pao 抛,reng 掷 vs pao 抛,VD,2
Chinese,reng 掷,tou 投,reng 掷 vs tou 投,FORCE,0
Chinese,reng 掷,tou 投,reng 掷 vs tou 投,HAND,3
Chinese,reng 掷,tou 投,reng 掷 vs tou 投,ARM,3
Chinese,reng 掷,tou 投,reng 掷 vs tou 投,HD,2
Chinese,reng 掷,tou 投,reng 掷 vs tou 投,VD,2
Chinese,reng 掷,shuai 摔,reng 掷 vs shuai 摔,FORCE,3
Chinese,reng 掷,shuai 摔,reng 掷 vs shuai 摔,HAND,3
Chinese,reng 掷,shuai 摔,reng 掷 vs shuai 摔,ARM,3
Chinese,reng 掷,shuai 摔,reng 掷 vs shuai 摔,HD,0
Chinese,reng 掷,shuai 摔,reng 掷 vs shuai 摔,VD,3
Chinese,reng 掷,shuai 甩,reng 掷 vs shuai 甩,FORCE,3
Chinese,reng 掷,shuai 甩,reng 掷 vs shuai 甩,HAND,0
Chinese,reng 掷,shuai 甩,reng 掷 vs shuai 甩,ARM,2
Chinese,reng 掷,shuai 甩,reng 掷 vs shuai 甩,HD,2
Chinese,reng 掷,shuai 甩,reng 掷 vs shuai 甩,VD,0
Chinese,diu 丢,pao 抛,diu 丢 vs pao 抛,FORCE,3
Chinese,diu 丢,pao 抛,diu 丢 vs pao 抛,HAND,3
Chinese,diu 丢,pao 抛,diu 丢 vs pao 抛,ARM,1
Chinese,diu 丢,pao 抛,diu 丢 vs pao 抛,HD,3
Chinese,diu 丢,pao 抛,diu 丢 vs pao 抛,VD,2
Chinese,diu 丢,tou 投,diu 丢 vs tou 投,FORCE,3
Chinese,diu 丢,tou 投,diu 丢 vs tou 投,HAND,3
Chinese,diu 丢,tou 投,diu 丢 vs tou 投,ARM,3
Chinese,diu 丢,tou 投,diu 丢 vs tou 投,HD,3
Chinese,diu 丢,tou 投,diu 丢 vs tou 投,VD,1
Chinese,diu 丢,shuai 摔,diu 丢 vs shuai 摔,FORCE,3
Chinese,diu 丢,shuai 摔,diu 丢 vs shuai 摔,HAND,3
Chinese,diu 丢,shuai 摔,diu 丢 vs shuai 摔,ARM,3
Chinese,diu 丢,shuai 摔,diu 丢 vs shuai 摔,HD,1
Chinese,diu 丢,shuai 摔,diu 丢 vs shuai 摔,VD,3
Chinese,diu 丢,shuai 甩,diu 丢 vs shuai 甩,FORCE,3
Chinese,diu 丢,shuai 甩,diu 丢 vs shuai 甩,HAND,3
Chinese,diu 丢,shuai 甩,diu 丢 vs shuai 甩,ARM,3
Chinese,diu 丢,shuai 甩,diu 丢 vs shuai 甩,HD,0
Chinese,diu 丢,shuai 甩,diu 丢 vs shuai 甩,VD,1
Chinese,pao 抛,tou 投,pao 抛 vs tou 投,FORCE,0
Chinese,pao 抛,tou 投,pao 抛 vs tou 投,HAND,3
Chinese,pao 抛,tou 投,pao 抛 vs tou 投,ARM,3
Chinese,pao 抛,tou 投,pao 抛 vs tou 投,HD,0
Chinese,pao 抛,tou 投,pao 抛 vs tou 投,VD,0
Chinese,pao 抛,shuai 摔,pao 抛 vs shuai 摔,FORCE,3
Chinese,pao 抛,shuai 摔,pao 抛 vs shuai 摔,HAND,3
Chinese,pao 抛,shuai 摔,pao 抛 vs shuai 摔,ARM,3
Chinese,pao 抛,shuai 摔,pao 抛 vs shuai 摔,HD,0
Chinese,pao 抛,shuai 摔,pao 抛 vs shuai 摔,VD,3
Chinese,pao 抛,shuai 甩,pao 抛 vs shuai 甩,FORCE,3
Chinese,pao 抛,shuai 甩,pao 抛 vs shuai 甩,HAND,0
Chinese,pao 抛,shuai 甩,pao 抛 vs shuai 甩,ARM,0
Chinese,pao 抛,shuai 甩,pao 抛 vs shuai 甩,HD,3
Chinese,pao 抛,shuai 甩,pao 抛 vs shuai 甩,VD,3
Chinese,tou 投,shuai 摔,tou 投 vs shuai 摔,FORCE,3
Chinese,tou 投,shuai 摔,tou 投 vs shuai 摔,HAND,1
Chinese,tou 投,shuai 摔,tou 投 vs shuai 摔,ARM,0
Chinese,tou 投,shuai 摔,tou 投 vs shuai 摔,HD,1
Chinese,tou 投,shuai 摔,tou 投 vs shuai 摔,VD,3
Chinese,tou 投,shuai 甩,tou 投 vs shuai 甩,FORCE,2
Chinese,tou 投,shuai 甩,tou 投 vs shuai 甩,HAND,3
Chinese,tou 投,shuai 甩,tou 投 vs shuai 甩,ARM,2
Chinese,tou 投,shuai 甩,tou 投 vs shuai 甩,HD,3
Chinese,tou 投,shuai 甩,tou 投 vs shuai 甩,VD,3
Chinese,shuai 摔,shuai 甩,shuai 摔 vs shuai 甩,FORCE,3
Chinese,shuai 摔,shuai 甩,shuai 摔 vs shuai 甩,HAND,3
Chinese,shuai 摔,shuai 甩,shuai 摔 vs shuai 甩,ARM,2
Chinese,shuai 摔,shuai 甩,shuai 摔 vs shuai 甩,HD,3
Chinese,shuai 摔,shuai 甩,shuai 摔 vs shuai 甩,VD,3
